itemsTagged,street,rubbishType,day,serverTimeStamp,city,state,lat,long
1,Broadway St,tobacco,Wednesday,"2/12/2020, 7:27:58 PM",Redwood City,CA,37.48672978,-122.2296395
1,Broadway St,paper,Wednesday,"2/12/2020, 7:27:50 PM",Redwood City,CA,37.48674432,-122.2294896
1,Broadway St,tobacco,Wednesday,"2/12/2020, 7:27:38 PM",Redwood City,CA,37.48678827,-122.2294246
1,Broadway St,other,Wednesday,"2/12/2020, 7:27:34 PM",Redwood City,CA,37.48676524,-122.2294101
1,Broadway St,plastic,Wednesday,"2/12/2020, 7:27:29 PM",Redwood City,CA,37.48679157,-122.229431
1,Broadway St,other,Wednesday,"2/12/2020, 7:27:20 PM",Redwood City,CA,37.48678865,-122.2293858
1,Broadway St,paper,Wednesday,"2/12/2020, 7:27:15 PM",Redwood City,CA,37.48681848,-122.2293859
1,Broadway St,other,Wednesday,"2/12/2020, 7:27:10 PM",Redwood City,CA,37.48683825,-122.2293599
1,Broadway St,other,Wednesday,"2/12/2020, 7:27:05 PM",Redwood City,CA,37.48685442,-122.2293627
1,Broadway St,other,Wednesday,"2/12/2020, 7:27:03 PM",Redwood City,CA,37.48685763,-122.2293693
1,Broadway St,paper,Wednesday,"2/12/2020, 7:27:01 PM",Redwood City,CA,37.48687574,-122.2293623
